Pcode,age,sex,study stress,Psychological distress,Dependency on Cell Phone,emotional resilience,INT,centralized emotional resilience,centralized study stress,Zage,Zsex,Zas,Zpd,Zma,Zar,ZINT,Zar,Zas
GXGGCC210,17,2,2.428571,2.166667,2.705882,4.566667,-0.087397849,0.800865055,-0.10912931,1.403848089,0.8357313,-0.2446886,-0.040728652,0.093029715,1.65155824,-0.05909592,1.65155824,-0.2446886
GXGGLW206,15,2,3.285714,3.666667,3.647059,3.466667,-0.223756992,-0.299134945,0.74801355,-1.854181808,0.8357313,1.6771881,1.60490434,1.218810924,-0.616881433,-0.66465509,-0.616881433,1.6771881
GXGGLWZ211,16,2,2.142857,1.75,1.832848,4.566667,-0.316216436,0.800865055,-0.39484359,-0.225166859,0.8357313,-0.8853141,-0.497848928,-0.951243531,1.65155824,-1.07525948,1.65155824,-0.8853141
GXGGML212,17,2,2.571429,1.916667,2.470588,3.1,-0.022456047,-0.665801612,0.03372784,1.403848089,0.8357313,0.0756242,-0.315000817,-0.188415588,-1.373027991,0.22930501,-1.373027991,0.0756242
GXGGWC207,16,2,2.714286,3.333333,3.764706,4.133333,0.064900581,0.367531722,0.17658498,-0.225166859,0.8357313,0.395937,1.239208119,1.359533575,0.75793049,0.61724824,0.75793049,0.395937
GXGPYH210,14,2,2.857143,1.833333,2.411765,4.033333,0.085460901,0.267531722,0.31944212,-3.483196756,0.8357313,0.7162498,-0.406424873,-0.258776913,0.551708701,0.70855484,0.551708701,0.7162498
GXHCML101,16,1,2.428571,4.25,1.705882,3.433333,0.036282033,-0.332468278,-0.10912931,-0.225166859,-1.2142548,-0.2446886,2.244872725,-1.10311282,-0.68562203,0.49015575,-0.68562203,-0.2446886
GXLD210,16,2,2.571429,1.583333,2.352941,3.8,0.001153438,0.034198388,0.03372784,-0.225166859,0.8357313,0.0756242,-0.680697038,-0.329138239,0.070524528,0.33415269,0.070524528,0.0756242
GXLH105,15,1,2.714286,3.416667,2.529412,2.4,-0.241180048,-1.365801612,0.17658498,-1.854181808,-1.2142548,0.395937,1.330632174,-0.118054262,-2.81658051,-0.74202937,-2.81658051,0.395937
GXLSX205,16,2,2.857143,1.583333,3.411765,3.033333,-0.23398122,-0.732468278,0.31944212,-0.225166859,0.8357313,0.7162498,-0.680697038,0.937365622,-1.510509183,-0.71006,-1.510509183,0.7162498
GXLWLY205,17,2,2.428571,2,3.294118,3.2,0.061745538,-0.565801612,-0.10912931,1.403848089,0.8357313,-0.2446886,-0.223576762,0.796642971,-1.166806203,0.60323697,-1.166806203,-0.2446886
GXML205,16,2,2.285714,1.333333,3.294118,3.766667,-0.000217982,0.000865055,-0.25198645,-0.225166859,0.8357313,-0.5650014,-0.954969203,0.796642971,0.001783932,0.32806233,0.001783932,-0.5650014
GXNNXC200,16,2,2.142857,2.25,2.529412,4.766667,-0.395185155,1.000865055,-0.39484359,-0.225166859,0.8357313,-0.8853141,0.050695403,-0.118054262,2.064001817,-1.42595274,2.064001817,-0.8853141
GXONLP105,15,1,3.428571,3.583333,3.764706,3.766667,0.000770652,0.000865055,0.89087069,-1.854181808,-1.2142548,1.9975009,1.513480284,1.359533575,0.001783932,0.33245277,0.001783932,1.9975009
GXPNCJ112,17,1,3,2.210044,1.352941,3.766667,0.000399914,0.000865055,0.46229926,1.403848089,-1.2142548,1.0365625,0.006859692,-1.525280774,0.001783932,0.33080636,0.001783932,1.0365625
GXPNCW202,16,2,2.285714,2.416667,3.479907,3.542368,0.056302182,-0.223433371,-0.25198645,-0.225166859,0.8357313,-0.5650014,0.233543513,1.018873585,-0.460768293,0.5790635,-0.460768293,-0.5650014
GXPNCW212,16,2,2.285714,1.5,2.764706,4.566667,-0.201807143,0.800865055,-0.25198645,-0.225166859,0.8357313,-0.5650014,-0.772121093,0.16339104,1.65155824,-0.5671777,1.65155824,-0.5650014
GXPNF103,16,1,2.857143,1.75,3.294118,3.4,-0.116852443,-0.365801612,0.31944212,-0.225166859,-1.2142548,0.7162498,-0.497848928,0.796642971,-0.754362626,-0.18990122,-0.754362626,0.7162498
GXPNHL202,15,2,1.857143,1.666667,1.588235,4.366667,-0.408923448,0.600865055,-0.68055788,-1.854181808,0.8357313,-1.5259397,-0.589272983,-1.243835471,1.239114663,-1.48696331,1.239114663,-1.5259397
GXPNLH206,15,2,2.714286,1.833333,1.176471,3.483368,-0.049873611,-0.282434055,0.17658498,-1.854181808,0.8357313,0.395937,-0.406424873,-1.73636475,-0.58244056,0.10754598,-0.58244056,0.395937
GXPNLL108,16,1,3.428571,3.166667,3.882353,2.833333,-0.830708661,-0.932468278,0.89087069,-0.225166859,-1.2142548,1.9975009,1.056360009,1.500256226,-1.92295276,-3.36007498,-1.92295276,1.9975009
GXPNLP205,17,2,2.285714,2.210044,2.63084,3.758988,0.001716821,-0.006813146,-0.25198645,1.403848089,0.8357313,-0.5650014,0.006859692,0.003268239,-0.014050192,0.33665462,-0.014050192,-0.5650014
GXPNLS201,16,2,2.428571,1.75,2.294118,4.033333,-0.029195552,0.267531722,-0.10912931,-0.225166859,0.8357313,-0.2446886,-0.497848928,-0.399499564,0.551708701,0.19937545,0.551708701,-0.2446886
GXPNLZ211,16,2,2.428571,2.166667,3.058824,4.3,-0.0582967,0.534198388,-0.10912931,-0.225166859,0.8357313,-0.2446886,-0.040728652,0.515197668,1.10163347,0.07013977,1.10163347,-0.2446886
